Nutrition_module/MDD_W_submodule/RepeatMDDW/MDDWRespAge,Nutrition_module/MDD_W_submodule/RepeatMDDW/PWMDDWStapCer,Nutrition_module/MDD_W_submodule/RepeatMDDW/PWMDDWStapRoo,Nutrition_module/MDD_W_submodule/RepeatMDDW/PWMDDWPulse,Nutrition_module/MDD_W_submodule/RepeatMDDW/PWMDDWNuts,Nutrition_module/MDD_W_submodule/RepeatMDDW/PWMDDWMilk,Nutrition_module/MDD_W_submodule/RepeatMDDW/PWMDDWDairy,Nutrition_module/MDD_W_submodule/RepeatMDDW/PWMDDWPrMeatO,Nutrition_module/MDD_W_submodule/RepeatMDDW/PWMDDWPrMeatF,Nutrition_module/MDD_W_submodule/RepeatMDDW/PWMDDWPrMeatPro,Nutrition_module/MDD_W_submodule/RepeatMDDW/PWMDDWPrMeatWhite,Nutrition_module/MDD_W_submodule/RepeatMDDW/PWMDDWPrFish,Nutrition_module/MDD_W_submodule/RepeatMDDW/PWMDDWPrEgg,Nutrition_module/MDD_W_submodule/RepeatMDDW/PWMDDWVegGre,Nutrition_module/MDD_W_submodule/RepeatMDDW/PWMDDWVegOrg,Nutrition_module/MDD_W_submodule/RepeatMDDW/PWMDDWFruitOrg,Nutrition_module/MDD_W_submodule/RepeatMDDW/PWMDDWVegOth,Nutrition_module/MDD_W_submodule/RepeatMDDW/PWMDDWFruitOth,Nutrition_module/MDD_W_submodule/RepeatMDDW/PWMDDWSnf,Nutrition_module/MDD_W_submodule/RepeatMDDW/PWMDDWOptSalty,Nutrition_module/MDD_W_submodule/RepeatMDDW/PWMDDWOptFried,Nutrition_module/MDD_W_submodule/RepeatMDDW/PWMDDWInstaNoodl,Nutrition_module/MDD_W_submodule/RepeatMDDW/PWMDDWFastFood,Nutrition_module/MDD_W_submodule/RepeatMDDW/PWMDDWOptSugarFood,Nutrition_module/MDD_W_submodule/RepeatMDDW/PWMDDWOptSugarBev,Nutrition_module/MDD_W_submodule/RepeatMDDW/PWMDDWOptInsects,Nutrition_module/MDD_W_submodule/RepeatMDDW/PWMDDWWildPlants,Nutrition_module/MDD_W_submodule/RepeatMDDW/PWMDDWOptFatRpalm,Nutrition_module/MDD_W_submodule/RepeatMDDW/PWMDDWOptFatOth,Nutrition_module/MDD_W_submodule/RepeatMDDW/PWMDDWOptCond,Nutrition_module/MDD_W_submodule/RepeatMDDW/PWMDDWOptOthFood,Nutrition_module/MDD_W_submodule/RepeatMDDW/PWMDDWFortFood,Nutrition_module/MDD_W_submodule/RepeatMDDW/PWMDDWFortFoodoil,Nutrition_module/MDD_W_submodule/RepeatMDDW/PWMDDWFortFoodwflour,Nutrition_module/MDD_W_submodule/RepeatMDDW/PWMDDWFortFoodmflour,Nutrition_module/MDD_W_submodule/RepeatMDDW/PWMDDWFortFoodrice,Nutrition_module/MDD_W_submodule/RepeatMDDW/PWMDDWFortFooddrink,Nutrition_module/MDD_W_submodule/RepeatMDDW/PWMDDWFortFoodother,Nutrition_module/MDD_W_submodule/RepeatMDDW/PWMDDWFortFoodother_oth
33,0,0,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,
33,0,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,0,1,1,1,0,1,1,1,1,0,,,,,,,
32,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,
22,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,,,,,,1,stuff
35,0,1,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,,,,,,,
41,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,
22,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,,,,,,,
42,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,,,,,,,
15,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,,,,,,
36,0,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,
32,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,
32,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,,,,,,,
33,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,
42,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , 
