Nutrition_module/MDD_W_submodule/HHSize1549F,Nutrition_module/MDD_W_submodule/HHSize1549FAvailable,Nutrition_module/MDD_W_submodule/RepeatMDDW_count,meta/instanceID,_id,_uuid,_submission_time,_index,_parent_table_name,_parent_index,_tags,_notes,_version,_duration,_submitted_by,_xform_id
1,1,1,uuid:196eef5b-5177-46e5-bc40-2c17ed6cdc4b,28531382,196eef5b-5177-46e5-bc40-2c17ed6cdc4b,2022-11-16 19:57:02,1,,-1,,,202211161955,,bolander,44348
2,2,2,uuid:89ba4fb1-6e0c-46ab-8fc2-9aa151b8fbd9,28531440,89ba4fb1-6e0c-46ab-8fc2-9aa151b8fbd9,2022-11-16 20:00:32,2,,-1,,,202211161957,,bolander,44348
1,0,0,uuid:2c6854ee-d64f-43cd-afa9-94bfcc3fef6a,28531444,2c6854ee-d64f-43cd-afa9-94bfcc3fef6a,2022-11-16 20:01:02,3,,-1,,,202211161957,,bolander,44348
2,1,1,uuid:98a9ba1b-44c5-4760-ae73-555b15c063ce,28531538,98a9ba1b-44c5-4760-ae73-555b15c063ce,2022-11-16 20:06:14,4,,-1,,,202211161957,,bolander,44348
1,1,1,uuid:647644f0-b217-4b29-8469-e6aacf5574c3,28531555,647644f0-b217-4b29-8469-e6aacf5574c3,2022-11-16 20:06:56,5,,-1,,,202211161957,,bolander,44348
2,2,2,uuid:d871a5fa-cef8-430c-b0f1-a6abcdbd8108,28531624,d871a5fa-cef8-430c-b0f1-a6abcdbd8108,2022-11-16 20:08:23,6,,-1,,,202211161957,,bolander,44348
1,1,1,uuid:534b5217-3104-412e-ae0c-6b58bad90715,28531660,534b5217-3104-412e-ae0c-6b58bad90715,2022-11-16 20:09:02,7,,-1,,,202211161957,,bolander,44348
3,2,2,uuid:53025bcc-c49d-44bc-8d0b-4ab048ba1d20,28531773,53025bcc-c49d-44bc-8d0b-4ab048ba1d20,2022-11-16 20:10:48,8,,-1,,,202211161957,,bolander,44348
2,2,2,uuid:bdd994d7-cba5-4b94-909c-fa1659c11585,28531864,bdd994d7-cba5-4b94-909c-fa1659c11585,2022-11-16 20:12:41,9,,-1,,,202211161957,,bolander,44348
1,1,1,uuid:d2d2490d-9dd8-4cb0-8301-d3f0f9ceeab2,28531948,d2d2490d-9dd8-4cb0-8301-d3f0f9ceeab2,2022-11-16 20:13:51,10,,-1,,,202211161957,,bolander,44348
