HHAsstWFPRecCashYN1Y,HHAsstWFPRecInKindYN1Y,HHAsstWFPRecCapBuildYN1Y,RespSex,RESPRelationHHH,HHHSex,HHHAge,HHHDisabSee,HHHDisabHear,HHHDisabWalk,HHHDisabRemember,HHHDisabUnderstand,HHHDisabWash
1,0,1,1,300,1,42,2,3,1,1,4,1
0,1,1,1,200,0,34,3,3,3,3,1,1
1,1,1,1,100,1,22,1,1,999,1,999,1
1,0,1,1,402,1,33,888,888,1,1,4,4
0,0,0,1,402,0,43,1,1,1,2,2,1
0,0,0,1,200,0,55,1,2,1,2,1,2
1,1,0,0,200,1,34,2,2,4,2,4,3
0,1,1,1,300,1,71,1,2,1,4,2,3
1,0,1,0,200,0,75,1,1,4,2,1,4
0,0,1,0,100,0,52,3,1,2,2,1,4
1,1,1,1,402,0,80,2,3,1,2,1,2
1,0,0,0,402,1,53,2,4,1,3,3,2
0,1,0,0,200,1,39,4,3,2,2,1,2
1,1,0,0,200,0,34,1,1,4,2,3,1
0,0,1,0,200,1,62,888,888,888,888,888,888
0,0,1,0,100,0,28,999,999,999,999,999,999
0,0,1,0,100,1,99,2,1,1,3,2,2
1,1,0,0,200,0,56,4,1,1,2,4,2
0,0,0,0,300,1,56,4,3,2,1,2,3
